aback	(adjective) ទៅក្រោយ, ថយក្រោយ to be taken aback ស្រឡាំងកាំង,ធ្វើអោយតក់ស្លុត
abactor	(noun). ចោរ(លួចគោ, ក្របី)
abacus	(plural. -cuses /-kəsɪz/ or abaci /'æbəsaɪ/ ក្បាច់(ប្រដាប់គិតលេខម្យ៉ាង)
abaft	(adjective) ឆ្ពោះទៅកន្សៃនាវា, ខិតទៅរកកន្ទុយនាវា,​ ខាងក្រោយចម្ហៀងនៃabaft (preposition) ~main-mast ក្រោយ
abalone	(noun) French. អាបាឡូន(ខ្យងសមុទ្រម្យ៉ាង)
abandon	(verb). ១. ឈប់,​ បញ្ឈប់, បំភ្លេចចោល, លះបង់ ២. (~ sb/sth) (to sb/sth). បរិច្ចាក,​ ចោល,​ លះបង់, បោះបង់ ៣. (~ oneself to sth). បណ្តោយខ្លួន, ធ្លាក់ខ្លួន,​ ឬ លង់ខ្លួនabandon (also abandon-ment)(noun). with abandon (adjective). ដោយស្មារតីលះបង់ abandoned (adjective). ដែលបោះបង់ចោល,​ ដែលលះបង់ចោល abandoned property សម្បត្តិបោះបង់ចោល,​ សម្បត្តិបរិច្ចាកSynonymsabandon (verb) បរិច្ចាគ,​ ប្រហែល,​ ប្រគល់, បោះបង់ចោល,​ បណ្តោយខ្លួន, អស់សង្ឃឹម cut off កាត់,​ កាត់ចោល, កាត់ផ្តាច់ desert រត់ចោល, (ប្រពន្ធឬតំណែង) evacuate ជម្លៀសចេញ,​ ចេញពី, បញ្ចេញ, បណ្តេញចេញ forsake បោះបង់ចោល jiit ដកដៃ,​ ដោះដៃចោលសង្សារ leave ចាកចេញ,​ ចេញ, ចេញទៅ, ទុកចោល ostracize បណ្តេញចេញពីក្រុមអ្វីមួយ quit ឈប់, លាចាក, លះបង់, បោះបង់ vacate ចេញពី, លាលែង, ចាត់ទុកជាមោឃះ
abase	(transitive​ verb). ~ oneself/sb បន្ទាបបន្ថោក,​​ បញ្ចុះ,​ បន្ថយឋានះ,​ ស្រុត,​ ធ្លាក់ចុះ, (figurative).បំបាត់មុខ, ចុះទាប, ដាក់ខ្លួន abase oneselt បន្ថោកខ្លួន, ដាក់ខ្លួន, បន្ទាបយសសក្តិSynonymsabase(verb). បន្ទាប, ទម្លាក់ចុះ, ពង្រូតចុះ, បញ្ចុះ, ធ្លាក់ចុះ debase បន្ទាប, បញ្ចុះ degrade បកស័ក្តិ, ធ្វើអោយខុច ឬ ថោក demote បញ្ចុះស័ក្តិ depose ទម្លាក់ devaluate បញ្ចុះតម្លៃ (នៃរូបិយបវត្ថុ) discredit ធ្ចើអោយខូចកិត្តិយស humble ផ្ចាញ់, ដាក់ ឬ បន្ទាបខ្លួន lower ធ្វើអោយទាបឡើង, បញ្ចុះ, ធ្វើអោយចុះ, បង្អន់, ឳន mortify ធ្ចើអោយអាប់មុខ, បំបាត់មុខ reduce បញ្ចុះ, បន្ថយ, បង្អង់, ស្រក ឬ ចុះទម្ងន់ belittle និយាយមើលងាយ deflate បញ្ចេញខ្យល់, បន្ធូរ, បញ្ចុះតម្លៃ, ធ្ចើអោយបាក់មុខ denigrate បន្តុះបង្អាប់, និយាយបង្ខូច, និយាយបង្កាច់ depreciate ចុះថ្លៃ, បញ្ចុះថ្លៃ, និយាយមើលងាយ, បន្ថោក disparage បង្អាប់​ downgrade  បន្ថោក,  បញ្ចុះតម្លៃ put down បង្អាប់, បន្តុះ, បន្ថោក​ revile ជេរប្រមាថ vituperate ស្តីបន្ទោស, ប្រមាថ, ធ្វើអោយក្តៅក្រហាយ
abasement	(noun). by~ ការបន្ថោក, ការបញ្វុះ
abash	(transitive). ធ្វើអោយខ្មាស់, ធ្វើអោយច្របល់គ្នា, បំផ្លាញ
abashed	(adjective). ~​ (at/by sth) ខ្មាសអៀន, ដែលអាមាសមុខ, ដែលច្រលំបល់, ដែលលាយឡំ, ដែលឡប់
abate	(intransitive verb). ស្រាក, អន់, បន្ថយ, បង្អន់(transitive verb). ធ្វើអោយថយ, ធ្វើអោយចុះ, បន្ថយថ្លៃ, បំបាត់, បញ្ចុះ
abatement	(noun). ការស្រាក, ការបន្ថយ, ការបង្អន់, ការរំងាប់, ការបំបាត់, ការបញ្ចុះ, ការបញ្ចុះតម្លៃ, ការបន្ថយថ្លៃ abatement of action ការបដិសេធចោល​បណ្តឹង, ការលើកចោលបណ្តឹង
abattoir	(noun). ទីកន្លែងសម្លាប់សត្វ, ទីសត្តឃាត
abbacy	(noun). សក្តិយស, សេចក្តីថ្លៃថ្នូរ
abbess	(noun). (ស្រ្តី) ប្រធានវត្តគ្រប់គ្រងយាយជី ឬ អ្នកគ្រប់គ្រងដូនជី
abbey	(noun). វត្តខាងសាសនាគ្រិស្តឬវិហារសាសនាគ្រិស្ត
abbot	(noun).(French). អាប្បេ (General) ចៅអធិការវត្តនៃសាសនាគ្រិស្ត
abbreviate	(transitive verb). ~ sth (to sth) ១. បំព្រួញ ២. សង្ខេប ~ a word សរសេរកាត់,​ បំព្រួញ
abbreviation	(noun). ពាក្យសរសេរកាត់, សេចក្តីសង្ខេប, ពាក្យបំព្រួញ​ by ~ ការសរសេរកាត់, ការបំព្រួញ
ABC (1)	(noun). ១. អក្ខរាវិរុទ្ធ, សៀវភៅថ្នាក់ដំបូង, អក្សរក្រម ២. មូលដ្ឋាននៃប្រធានបទas easy as ABC ស្រួលដូចចេក
ABC (2)	(abbreviation) .១. American Broadcasting Company ក្រុមហ៊ុនផ្សព្វផ្សាយវិទ្យុទូរទស្សន៍អាមេរិក ២. Australian Broadcasting Commission គណៈកម្មដារផ្សព្វផ្សាយវិទ្យុទូរទស្សន៍អុស្រា្តលី
abdicate	(intransitive verb). ដាក់រាជ្យ (-intransitive verb) បោះបង់
abdication	(noun). king's ~ ការដាក់រាជ្យ~ of duty ការបោះបង់ចោល​ (Figurative) ការដាក់ធុរៈ
abdomen	(noun). ពោះ
abdominal	(adjective). ~ surgey នៃពោះ abdominal pain ឈឺពោះ, ចុកពោះ abdominal surgey ការវះកាត់ពោះ
abdominally	(​adverb). តាមពោះ, ដោយពោះ
abduct	(transitive verb). ចាប់, យកទៅដោយកម្លាំងពង្រាត់, ចាប់ពង្រត់, ឆក់ពង្រត់, ឆក់យក, លួចនាំរត់
abduction	(noun). ការឆក់យក, ចំណាប់យក, ការចាប់យក
abductor	(noun). អ្នកចាប់ជំរិត, ការឆក់យកទាំងអំណាច, អ្នកនាំពង្រត់ស្រី
abeam	(adjective). ជ្រុងខាងស្តាំនៃបាតនាវា, ទិសកៃងនិងអក្សនាវាឬយន្តហោះ
abed	(adjective). ដេក, ទំរេត, លើគ្រែ, ក្នុងដំណេក to bring abed ប្រសូត្របុត្រ, កើតកួន
aberrant	(adjective). ដែលមិនសូវដូចគេដូចឯង, ដែលពុំអាចទទួលយកបាន, ដែលព្រាត់ប្រាស់, ដែលមិនធម្មតា​ (Figurative) ដែលឃ្លៀងឃ្លាត, ដែលភ្លាំងភ្លាត់
aberration	(noun). ការភ្លាំងភ្លាត់, ការភាន់គំនិត, ការប្រព្រឹត្តិខុសគន្លង, ភាពពុំធម្មតា, កំរិតខុសគ្នា, ការភាន់ច្រឡំ
aberrational	(adjective). ដែលមិនដូចគេដូចឯង, ដែលប្លែក, ដែលឃ្លៀងឃ្លាត, ដែលភ្លាំងភ្លាត់
abet	(transitive verb). (past tense.past participle. abetted). ~ sb (in sth) ជំរុញ (អោយប្រព្រឹត្តិបទអាក្រក់), ញុះ​ញង់, សមគំនិត, លើកទឹកចិត្តពន្យុះ ឬ ធ្វើអោយអ្នកណាផ្សេងទៀតប្រព្រឹត្តបទល្មើសអាជ្ញា
abetment	(noun). ការសមគំនិត, ការចចូលដៃ, ការញុះញង់, ការជំរុញបន្ថែម
abettal	(noun). ការញុះញង់បន្ថែម
abetter	(noun). អ្នកញុះញង់
abettor	(noun). អ្នកចូលដៃ, អ្នកផ្សំគំនិត,ការញុះញង់​ ឬ ពន្យុះអ្នកណាផ្សេងទៀតអោយប្រព្រឹត្តបទល្មើសអាជ្ញា
abeyance	(noun). ការពន្យាពេល, ការផ្អាក, ការព្យួរ, Goods in abeyance ទំនិញគ្មានអ្នកទទួល in abeyance ឈប់ប្រើ ឬ ឈប់មួយរយះពេល
abhor	(transitive verb). (-rr-). ស្អប់ខ្ពើមជាខ្លាំង, ក្នាញ់abhorrence (noun). ១. ការស្អប់ខ្ពើមជាខ្លាំង ២. វត្ថុដែលស្អប់ខ្ពើម
abhorrence	(noun). ការស្អប់ខ្ពើមជាខ្លាំង, វត្ថុដែលស្អប់ខ្ពើម
abhorrency	(noun). លក្ខណៈដែលគួរអោយស្អប់ខ្ពើម
abhorrent	(adjective). ~ (to sb) ដែលគួរអោយស្អប់ខ្ពើម
abide	(intransitive verb). (past tense.past participle. abided)1 នៅ, រស់នៅ, មានទីលំនៅ 2 abide by sth ស្មោះត្រង់ចំពោះ, ប្រព្រឹត្តតាម, ធ្វើទៅតាម, គោរពទទួលផលវិបាកនៃអ្វីមួយ, នៅពេញចិត្តនិងអ្វីមួយ, រងចាំអ្វីមួយ (-transitive verb). (colloquial). can't/couldn't ~ him អត់ទ្រាំ, ស៊ូទ្រាំabiding (-adjective) ជាប់ជានិច្ច, ដែលជានិរន្ត, ដែលគមានទីបំផុត, ខ្ជាប់ខ្ជួន, អចិន្រ្តិយ៍abiding (noun). លំនៅ, ការអាស្រ័យនៅabindingly (adverb). ដោយជាប់ជានិច្ច, ដោយខ្ជាប់ខ្ជួន
abiding	(-adjective) ជាប់ជានិច្ច, ដែលជានិរន្ត, ដែលគមានទីបំផុត, ខ្ជាប់ខ្ជួន, អចិន្រ្តិយ៍ (noun). លំនៅ, ការអាស្រ័យនៅ
abidingly	(adverb). ដោយជាប់ជានិច្ច, ដោយខ្ជាប់ខ្ជួន
abietic	(adjective). ដែលចាប់អារម្មណ៍
ability	(noun). ~ (to do sth) បំណិន, ការប៉ិន, សម្បទា, សម្ថភាព to the best of my ability (=as well as i can) អោយបានល្អបំផុតដែលឬ អាចធ្វើបាន (opposite) inabilitySynonymsability (noun) ​ បំណិន, ការប៉ិន, សម្បទា, សម្ថភាព aptitude សម្បទា​ capacity តំណែង, ចំណុះ, សម្ថភាព competence សម្ថភាព, សម្ថកិច្ច, សមត្ថកម្ម faculty ញាណសក្តិ (កម្លាំងកាយ ឬចិត្ត), ឥន្រ្តីយ៍, លក្ខណះ, អំណាច, សេចក្តីអង់អាច skill ជំនាញការ, ការប៉ិនប្រសប់ talent បញ្ញា, រូបវត្តុ, ក្រិកបុរាណមួយបែប
abinitio	(adverb). ពីការចាប់ផ្តើម, តាំងពីដើម
abiological	(adjective). ដែលសិក្សាពីវត្ថុគ្មានជីវិត
abirritant	(adjective). ដែលព្យាបាលរោគរមាស់
abirritate	(verb). សងសឹក, ចងគុំនុំ
abject	(adjective). ដ៏ទាបបំផុត, ដែលអន់, តោកយ៉ាក ~ apologies ដែលដាក់ខ្លួនហូសពេក ~ despair ដែលគ្មានទឹកចិត្តបន្តិចសោះ​ ~ submission ដែលខ្វះភាពម្ចាស់ការ ~ poverty ទុគ៌ត, ដ៏ទាបបំផុត
abjectly	(adverb). យ៉ាងថោកទាប, យ៉ាងយាប់យ៉ឺន
abjectness	(noun). ភាពអន់, ភាពតោកយ៉ាក
abjudicate	(verb). កាត់ទោស, សំរេចទោស
abjuration	(noun). ការលែងលះ, ការលះបង់, ការបញ្ឈប់, ការសច្ចារលះបង់,​ ការបដិសេធចោល ឬការបោះបង់ធ្វើអ្វីតាមរយះការធ្ចើសច្ចាប្រណិធាន
abjure	(transitive verb). លះបង់, លែងលះ, បង្ខិតបង្ខំអោយបោះបង់abjuration /'æbdʒʊə'reɪʃn/ ['អ៊ែបដ្យួ 'រ៉េយ៍ស្ហឹន] (noun). ការលែងលះ, ការលះបង់, ការបញ្ឈប់, ការសច្ចារលះបង់,​ ការបដិសេធចោល ឬការបោះបង់ធ្វើអ្វីតាមរយះការធ្ចើសច្ចាប្រណិធាន
ablate	"(transitive verb). (itransitive verb). ១. វះកាត់យកចេញ, កាត់ចោល, យកទៅបាត់ ២.(geology). យកចេញ ៣. (space). ឆេះ (ក្បាលកាំជ្រួច Normal 0 false false false EN-US X-NONE KHM /* Style Definitions */ table.MsoNormalTable{mso-style-name:""Table Normal"";mso-tstyle-rowband-size:0;mso-tstyle-colband-size:0;mso-style-noshow:yes;mso-style-priority:99;mso-style-parent:"""";mso-padding-alt:0in 5.4pt 0in 5.4pt;mso-para-margin:0in;mso-para-margin-bottom:.0001pt;line-height:150%;mso-pagination:widow-orphan;font-size:10.0pt;font-family:""Times New Roman"",""serif"";}"
ablation	(noun). ១.​ ការវះកាត់យកចេញ, ការកាត់ចោល, ការយកទៅបាត់ ២. (geology). ការយកចេញ ៣. (space). ការឆេះ (ក្បាលកាំជ្រួច) a. shield ខែលឬគំរបធ្វើពីបន្ទះកញ្ចក់
ablative	(noun). ទំរង់ពិសេសរបស់(នាម, សព្វនាម, គុណនាម)
ablaut	(noun). ការធ្វើអោយស្រះផ្លាស់សម្លេង(transitive verb). ធ្វើអោយស្រះផ្លាស់សម្លេង
ablaze	(adjective). ១. ដែលក្រហមង៉ូវ, ដែលឆេះទ្រគោល, ដែលឆេះសន្ធោសន្ធៅ ២.  ~ with sth (a) ដែលត្រចះត្រចង់និង គួរអោយគយគន់​ (b) ដែលរំភើប (-noun)​. ភ្លើងឆេះសន្ធោសន្ធៅ​ ablaze with flowers ផ្ការក្រហមឆ្អៅ ablazely (adjective). ដោយឆេះទ្រគោល
ablazely	(adjective). ដោយឆេះទ្រគោល
able (1)	(adjective). be ~ to do sth ដែលមានសម្ថភាព, ដែលឆ្លាតវៃ i wan't able to go ខ្ញុំទៅមិន​បាន he isn't able to walk គាត់ដើរមិនកើត (opposite). unable
able (2)	(adjective). (-r /'eɪblə(r)/ ; -st /'eɪblɪst/ ) ដែលឆ្លាតហើយប៉ិនប្រសប់ably /'eɪblɪ/ [អេប្លី]​ (adverb). បែបឬរបៀបមានសម្ថភាព, ប្រកបដោយសម្ថភាព, យ៉ាងមានសម្ថភាព
ablutionary	(adjective). ដែលធ្វើពិធីស្រោចទឹក, ដែលធ្វើពីធីជំរះកាយខ្លួនឯង (literary). ដែលធ្វើស្នានពិធី
ablutions	(noun). (plural).1 ពិធីស្រោចទឹក, ដារដុសលាង ឬ សំអាតខ្លួន (literary).ស្នានពិធី 2 បន្ទប់លុបលាងablutionary (adjective). ដែលធ្វើពិធីស្រោចទឹក, ដែលធ្វើពីធីជំរះកាយខ្លួនឯង (literary). ដែលធ្វើស្នានពិធី
ably	(adverb). យ៉ាងអង់អាច, យ៉ាងមានសម្ថភាព
ably	(adverb). បែបឬរបៀបមានសម្ថភាព, ប្រកបដោយសម្ថភាព, យ៉ាងមានសម្ថភាព
ably-bodied	(adjective). ដែលមាសរីរាង្គមាំមួន, ដែលមានសុខភាពបរិបូរណ៍
ABM	(abbreviation). Anti -Ballistic -Missile មិស៊ីលប្រឆាំង, មិស៊ីលកំណត់ទិសដៅ
abnegate	(transitive verb). លះបង់សិទិ្ធ, ដកហូត, ដកខ្លួនចេញ, ធ្វើពលីកម្មលះបង់, បោះបង់, ក្រឡេកគេចកែ
abnegation	(noun). ការលះបង់ចោល, ការដកហូត, ការលះបង់សិទ្ធិ, ការដកខ្លួនចេញ, ការប្រកែក, ការបដិសេធ, ការកាត់កាល
abnormal	(adjective). ប្លែកពីធម្មតា, មិនប្រក្រតី, ល្ងីល្ងើ, វិកលចរិត,​ ខុសធម្មតាabnormality /,æbnɔ:'mælətɪ/ [អ៊ែបណ 'មែឡឹធី] (noun). ភាពប្លែកពីធម្មតា abnormaly /æb'nɔ:məlɪ/ [អ៊ែប' ណមលី] (adverb). ដូចជាខុសប្លែកពីធម្មតា, យ៉ាងមិនប្រក្រតី, ប្លែកពីធម្មតា, បែបវិកលចរិត
abnormality	(noun). ភាពប្លែកពីធម្មតា
abnormaly	(adverb). ដូចជាខុសប្លែកពីធម្មតា, យ៉ាងមិនប្រក្រតី, ប្លែកពីធម្មតា, បែបវិកលចរិត
abnormity	(noun). (plural. ies).  ភាពខុសប្រក្រតី, ភាពខុសពីធម្មតា
abnormous	(adjective). ដែលមានរាងកាយចំឡែកខុសប្លែកពីធម្មតា
aboard	(adverb). នៅលើ ឬ នៅក្នុង(នាវា ។ល។) (preposition). លើ​ (នាវា, រថភ្លើង ។ល។) get aboard ( a ship) ចុះ get aboard (a plane) ឡើង all aboard កប៉ាល់/ឡានចេញឥឡូវហើយ close aboard ក្បែរ, ជិត, ទាប
abode (1)	(noun). លំនៅឋាន, ផ្ទះ to take up (make) one's abode ស្នាក់អាស្រ័យនៅ, តាំងលំនៅ
abode (2)	(transitive verb). នៅ, រស់នៅមានលំនៅ
abolish	(transitive verb). ~ a law លុបចោល (literary). ធ្វើនិរាក្រិតិ ~ slavery បំបិទលែងអោយមានabolition /,æbə'lɪʃn/ [,អ៊ែបឹ' លិស្ហឹន] (noun). ការបំបិទលែងអោយមាន, ការលុបចោល, ការបំផ្លាញចោល, ការកំទេចចោល (literary). និរាក្រិតិSynonymsabolish (verb) លុបចោល, បំបិទ​​ eradicate បំបាត់, រំលាយចោល, ដកឬស, បំផ្លាញ exterminate បំផ្លិចបំផ្លាញ, បំផ្លាញអស់, ធ្វើអោយសូន្យ extinguish ពន្លត់, ធ្វើអោយរលត់, ធ្វើអោយលែងមាន, លត់, រម្ងាប់ extirpate ដកឬស, បំផ្លាញចោលអស់ obliterate លុបឬបន្សឹកបន្តិចម្តងៗ, ផ្តិតលើ, បោះត្រាលើ
abolishment	(noun). ការលុបចោល, ការឃាត់, បញ្ឈប់ដំនើរ(ឈាម), ការបំបិទចោល, ការបំបាត់ចោល, ការដកចោល
abolitionist	(noun). អ្នកដែលឃើញគួរអោយលើកលែងទោសពីទាសករ, អ្នកលុបចោល។ល។ (literary). និរាក្រតិជន
abomasum	(noun). (plural. abomasa). បន្ទប់ (រឺថត) ទីបួនរបស់ក្រពះសត្វទំពាអៀង
abominable	(adjective). ១. ~ (to sb) គួរអោយស្អប់ខ្ពើម ២.ដ៏អាក្រក់, ដ៏អន់ Today, the weather is abominable ថ្ងៃនេះអាកាសធាតុអាក្រក់ណាស់Abominable Snowman (=yeti) (noun). សត្វធំម្យ៉ាងដូចជាមនុស្ស ឬខ្លាឃ្មុំដែលគេជឿថាវាមានរស់នៅភ្នំហិម៉ាឡៃ
Abominable Snowman (=yeti)	(noun). សត្វធំម្យ៉ាងដូចជាមនុស្ស ឬខ្លាឃ្មុំដែលគេជឿថាវាមានរស់នៅភ្នំហិម៉ាឡៃ
abominate	(transitive verb). ស្អប់ណាស់, ខ្ពើមណាស់abomination /,əbɑmɪ'neɪʃn US mən/ [អឹ,បមិ 'ណេយ៍ស្ហឹន]​ (noun). របស់ឬអំពើគួរអោយស្អប់, ការស្អប់ខ្ពើមaboriginal /,æbə'rɪdʒənl/ [,អ៊ែបឹ ' រិដ្យឹណល]​ (adjective). នៃអ្នកស្រុកដើម​ (noun). អ្នកស្រុកដើម
abomination	(noun). របស់ឬអំពើគួរអោយស្អប់, ការស្អប់ខ្ពើម
aboriginal	(adjective). នៃអ្នកស្រុកដើម​ (noun). អ្នកស្រុកដើម
aboriginal 	(adjective). នៃអ្នកស្រុកដើម​ (noun). អ្នកស្រុកដើម
aboriginess	(noun). អ្នកស្រុកដើម(អ្នកដែលនៅក្នុងប្រទេសណាមួយមុនគេបង្អស់) (literary). រដ្ឋវេសី
abort	(intransitive verb). ១. women ~ រលូតកូន ២. plan as ~ មិនបានសម្រេច(transitive verb). ១. ~ a child ពន្លូត ២. ~ a plane មិនអនុវត្ត, បដិសេធaborted /ə'bɔ:tɪd/ [អឹ​ ' ប៊័ធីដ] (adjective). ដែលរលូតកូន, ដែលមិនរីកចំរើន
aborted	(adjective). ដែលរលូតកូន, ដែលមិនរីកចំរើន
abortifacient	(adjective). ១. ដែលធ្វើអោយរលូតកូន, វត្ថុដែលធ្វើអោយរលូតកូន ២. (noun). អ្វីៗដែលបណ្តាលអោយរលួតកូន
abortion	(noun). ១. ការពន្លូតកូន, ការមិនបានសំរេចដូចបំណង ២. ~ of a plan ការមិនអនុវត្ត(ផែនការ), ការបដិសេធabortionist /ə'bɔ:ʃnɪst/ [អឹ ' បស្ហឹនីសថ៍] (noun). អ្នកពន្លូតកូនគ្មានច្បាប់
abortionist	(noun). អ្នកពន្លូតកូនគ្មានច្បាប់
abortive	(adjective). ដែលមិនបានសំរេច, ដែលមិនគ្រប់ខែ, ដែលបរាជ័យabortively (adverb). ដោយបរាជ័យabortiveness /ə'bɔ:tɪvnɪs/ [អឹ '​ បធីវណេស៍]​​ (noun). ការមិនបានសម្រេច, ភាពគ្មានផល, ការរលូតកូន
abortiveness 	(noun). ការមិនបានសម្រេច, ភាពគ្មានផល, ការរលូតកូន
abound	(intransitive verb). ១. មានច្រើន, សម្បូណ៌ ២. ~ in / with sth សម្បូណ៌ទៅដោយ fish abound in the Tunlesap lake ត្រីមានច្រើនណាស់នៅក្នុងបឹងន្លេសាប
abounding	(adjective). ដែលឧត្តម, ដែលកុះករ, ដែលសំបូរដែលមានច្រើន
about ship	(intransitive verb). បំបែរទិសដៅនាវាអោយផ្ទុយពីទិសដៅមុន
about (1)	(preposition). ១. talk ~ sth អំពី (b) ដើម្បីដោះស្រាយ (c) តាមសភាពដែល ២. ក្បែរ, ជិត ~ three days​​ ប្រហែល ៣. (a) ជុំវិញ (b) នៅគ្រប់ទិសទី (c) (បង្ហាញពីចលនា) នៅគ្រប់ទិសទី (d) (បង្ហាញពីទីតាំងគ្រប់ទីកន្លែង)​ wrap it ~ him ជុំវិញ​​ He is somewhere about គាត់នៅម្តុំៗនេះឯង What's he so angry about? តើគាត់ខឹងអ្វីក៏ខឹងខ្លាំងម្លេះ​?​ Have you some money about you? តើលោកមានជាប់លុយមកខ្លះទេ? be about to do sth ហៀបនិង, បំរុងនិង We're about to start ពួកយើងបំរុងនឹងចាប់ផ្តើម How/What about?​ ១. (ប្រើនៅពេលសាកសួរពត៌មានឬសុំយោបល់) ចុះដំណែក? What about his qualifications for the job? ចុះចំណែកសញ្ញាប័ត្ររបស់គាត់សំរាប៉ការងារថ្មី? ២. (ប្រើនៅពេលធ្វើសំនូមពរ) What about a cup of tea ? តើត្រូវការតែមួយពែងទេ?
